,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
87,2020-05-25,Iphone xr,1265015494798708736,pjmperfectlips,⟭⟬ Meghan ⁷𖧵⟬⟭☾,@saferions Lmao really? I have an iPhone 8 for like EVER before I got the XR. And then like 2 months later the 11 came out 😂,0,0,0,False
88,2020-05-25,Iphone xr,1265015390394093570,JRPeevers,Jenny Peevers,"So, in case anyone needs some light relief from the DC car crash: it appears the iPhone XR can survive a 2h 30min w… https://t.co/4Qinzu0T9e",3,0,0,False
89,2020-05-25,Iphone xr,1265014386126499846,Angie_Reyna_,Dysfunctional 🔪,@BestBuy are you gonna restock the iPhone XR,0,0,0,False
90,2020-05-25,Iphone xr,1265013531444944901,marygleason49,Mary Gleason,Phone Tripod Stand Selfie Stick 54 Inch Portable Aluminum Alloy Phone with Wireless Remote Shutter for iPhone Tripo… https://t.co/U7CqMMPg0f,0,0,0,False
91,2020-05-25,Iphone xr,1265013350339088384,EthamSnith,boring ethan,Hi. I want to say how great it is to be kind. Everyone’s going through personal struggles. I for one woke up at 1pm… https://t.co/H2vwvzNUmu,1,0,0,False
92,2020-05-25,Iphone xr,1265012538422571008,mobiletech360co,Mobile Tech 360,"Apple iPhone 7, 8, 6, 6s, 5, 5s, SE Plus ,X, XR, XS Max Sexy Floral Phone Case https://t.co/mCQMbu6QYk",0,0,0,False
93,2020-05-25,Iphone xr,1265012341516775425,CrazyMind90,CrazyMind 🇨🇦,"@Jakeashacks But it works fine on my friend's XR .. 13.5 , 
I restored my iPhone 3 times today because of this issue ..",0,0,0,False
94,2020-05-25,Iphone xr,1265009814876426240,LARADistributer,LARA Distributor,"Check out this product 😍 Wireless Phone Car Charger for iPhone xr Huawei Samsung Smart Phone 10W 😍 
by LARA Distrib… https://t.co/d7tEzmQwzd",0,0,0,False
95,2020-05-25,Iphone xr,1265008829931991040,bougieyoongi,𝖘𝖚𝖗𝖊⁷ + ᴀᴅ²,my biggest regret? getting the coral iphone xr instead of the yellow😔,1,0,0,False
96,2020-05-25,Iphone xr,1265007430037102594,alaa_express,AlaaExpress,Case For iPhone 6S 6 7 8 Plus XS Max Cover 3D Lace Flower Phone Shell For iPhone 5S 5 SE XR X 10 Sexy Lace Cases Ca… https://t.co/NS5p2IA3jz,0,0,0,False
97,2020-05-26,Iphone xr,1265072844427325440,bloodmoonbobby,Blood Moon Bobby (Birthday in 17 Days! 🎂),I think the same phone reviewer crying about the size of my iPhone XR bezel is related to the same loser who told m… https://t.co/WZdkOB43Yv,0,0,0,False
98,2020-05-26,Iphone xr,1265071284498706432,GeekMaster88,Geek Master,"Any iPhone XR, XS, and XS Max users curious why no night mode came with the iOS 13.5? And the XR why no REAL portra… https://t.co/IjdCAPuZnc",0,0,0,False
99,2020-05-26,Iphone xr,1265070306743418881,RegularshareNet,Regular Share,"Buy Now 👉👉https://t.co/3J0xWTko2D
 😍 For iPhone Cable Original 2A Fast Charging Cable For iPhone XS Max XR X 8 7 6.… https://t.co/xQLIgzVa2p",0,0,0,False
100,2020-05-25,Iphone xr,1265069369320787975,IslesFan_Ben,Ben,The official @Apple clear case for the iPhone XR is the worst case I’ve ever had/used in my life.,0,0,0,False
